R	RNG	RG	CS1	CS2	CST	A-9	A-8	A-7	A-6	A-5	A-4	A-3	A-2	A-1	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9
0.639	0.287	8.000	30.000	19.000	49.000	0.020	0.020	0.020	0.020	0.050	0.060	0.090	0.100	0.150	0.010	0.120	0.090	0.070	0.030	0.020	0.020	0.060	0.010	0.040
0.529	0.244	9.000	29.000	19.000	48.000	0.020	0.020	0.020	0.030	0.030	0.060	0.080	0.080	0.160	0.000	0.130	0.110	0.100	0.050	0.030	0.010	0.020	0.040	0.010
1.489	0.265	8.000	22.000	20.000	42.000	0.030	0.050	0.030	0.040	0.010	0.040	0.080	0.100	0.090	0.010	0.130	0.110	0.070	0.050	0.040	0.040	0.010	0.040	0.030
0.567	0.328	7.000	28.000	23.000	51.000	0.000	0.050	0.030	0.030	0.030	0.020	0.070	0.140	0.160	0.000	0.100	0.090	0.090	0.040	0.060	0.030	0.010	0.040	0.010
0.867	0.283	8.000	29.000	24.000	53.000	0.020	0.020	0.010	0.020	0.030	0.030	0.100	0.150	0.180	0.000	0.120	0.090	0.060	0.050	0.020	0.010	0.020	0.030	0.040
0.354	0.245	8.000	29.000	26.000	55.000	0.010	0.020	0.030	0.030	0.030	0.030	0.080	0.120	0.150	0.000	0.140	0.100	0.120	0.040	0.010	0.040	0.020	0.020	0.010
1.209	0.268	8.000	27.000	19.000	46.000	0.020	0.040	0.020	0.010	0.040	0.050	0.110	0.100	0.120	0.010	0.130	0.090	0.090	0.010	0.030	0.020	0.030	0.070	0.010
1.036	0.297	8.000	26.000	27.000	53.000	0.020	0.050	0.010	0.000	0.030	0.040	0.090	0.130	0.140	0.000	0.120	0.120	0.090	0.030	0.040	0.030	0.000	0.040	0.020
0.973	0.268	8.000	29.000	29.000	58.000	0.040	0.010	0.020	0.020	0.040	0.020	0.080	0.140	0.150	0.010	0.120	0.130	0.050	0.040	0.020	0.030	0.000	0.040	0.040
0.532	0.329	8.000	31.000	28.000	59.000	0.030	0.050	0.000	0.000	0.030	0.020	0.080	0.150	0.180	0.010	0.110	0.110	0.070	0.020	0.020	0.030	0.020	0.050	0.020
1.669	0.301	8.000	34.000	23.000	57.000	0.030	0.010	0.030	0.030	0.020	0.040	0.070	0.100	0.110	0.010	0.200	0.110	0.110	0.050	0.010	0.030	0.000	0.020	0.020
1.986	0.330	8.000	29.000	27.000	56.000	0.050	0.040	0.020	0.000	0.020	0.040	0.050	0.090	0.140	0.000	0.140	0.160	0.100	0.040	0.010	0.050	0.040	0.000	0.010
1.671	0.301	8.000	25.000	33.000	58.000	0.020	0.050	0.000	0.050	0.010	0.050	0.080	0.110	0.150	0.000	0.100	0.160	0.030	0.020	0.080	0.010	0.000	0.030	0.050
0.480	0.293	8.000	29.000	29.000	58.000	0.040	0.030	0.020	0.000	0.020	0.020	0.080	0.130	0.130	0.000	0.140	0.150	0.080	0.060	0.050	0.010	0.010	0.020	0.010
1.213	0.280	8.000	33.000	22.000	55.000	0.020	0.030	0.010	0.030	0.060	0.040	0.060	0.120	0.160	0.000	0.150	0.080	0.050	0.030	0.040	0.020	0.040	0.010	0.050
4.240	0.328	8.000	31.000	22.000	53.000	0.030	0.040	0.040	0.050	0.030	0.000	0.080	0.090	0.140	0.000	0.150	0.110	0.020	0.040	0.030	0.030	0.040	0.040	0.040
2.351	0.269	9.000	25.000	23.000	48.000	0.040	0.040	0.020	0.020	0.040	0.040	0.060	0.110	0.130	0.010	0.120	0.120	0.050	0.040	0.030	0.030	0.020	0.030	0.050
R	RNG	RG	CS1	CS2	CST	A-9	A-8	A-7	A-6	A-5	A-4	A-3	A-2	A-1	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9
6.711	0.355	5.000	15.000	24.000	39.000	0.040	0.030	0.060	0.060	0.020	0.070	0.050	0.080	0.060	0.000	0.070	0.100	0.090	0.080	0.030	0.050	0.070	0.030	0.010
1.786	0.370	8.000	34.000	26.000	60.000	0.060	0.010	0.010	0.040	0.010	0.040	0.080	0.080	0.130	0.000	0.180	0.140	0.070	0.030	0.010	0.030	0.010	0.050	0.020
1.108	0.294	8.000	33.000	24.000	57.000	0.040	0.020	0.020	0.040	0.040	0.020	0.050	0.060	0.130	0.010	0.180	0.160	0.110	0.030	0.020	0.020	0.010	0.020	0.020
1.238	0.330	7.000	26.000	22.000	48.000	0.030	0.020	0.050	0.000	0.020	0.030	0.120	0.110	0.140	0.000	0.120	0.110	0.070	0.020	0.030	0.040	0.040	0.030	0.020
1.840	0.333	8.000	29.000	22.000	51.000	0.040	0.060	0.000	0.030	0.030	0.020	0.060	0.080	0.130	0.000	0.160	0.140	0.090	0.060	0.010	0.010	0.020	0.020	0.040
1.038	0.285	7.000	31.000	23.000	54.000	0.030	0.050	0.040	0.000	0.040	0.030	0.070	0.050	0.090	0.000	0.200	0.180	0.080	0.020	0.030	0.040	0.020	0.010	0.020
1.888	0.337	7.000	28.000	30.000	58.000	0.080	0.020	0.010	0.040	0.020	0.060	0.030	0.050	0.080	0.000	0.180	0.170	0.110	0.040	0.010	0.030	0.030	0.010	0.030
1.855	0.386	8.000	29.000	27.000	56.000	0.080	0.010	0.010	0.030	0.040	0.000	0.050	0.090	0.130	0.000	0.170	0.140	0.090	0.040	0.020	0.020	0.040	0.030	0.010
1.332	0.303	8.000	26.000	23.000	49.000	0.030	0.020	0.030	0.030	0.040	0.050	0.040	0.110	0.160	0.010	0.100	0.130	0.070	0.060	0.030	0.000	0.010	0.030	0.050
1.841	0.318	7.000	28.000	29.000	57.000	0.050	0.030	0.010	0.000	0.050	0.020	0.050	0.110	0.110	0.000	0.160	0.160	0.110	0.030	0.070	0.020	0.000	0.010	0.010
1.199	0.296	7.000	30.000	24.000	54.000	0.030	0.000	0.050	0.040	0.050	0.030	0.060	0.080	0.170	0.000	0.110	0.120	0.100	0.030	0.020	0.030	0.010	0.010	0.060
1.213	0.325	7.000	29.000	24.000	53.000	0.050	0.030	0.020	0.030	0.060	0.020	0.050	0.090	0.080	0.000	0.190	0.150	0.080	0.010	0.030	0.030	0.000	0.020	0.060
1.418	0.316	8.000	29.000	26.000	55.000	0.020	0.020	0.030	0.030	0.010	0.060	0.070	0.120	0.140	0.020	0.150	0.120	0.040	0.040	0.010	0.040	0.020	0.030	0.030
1.913	0.304	8.000	26.000	25.000	51.000	0.040	0.050	0.000	0.040	0.040	0.030	0.070	0.080	0.080	0.010	0.160	0.150	0.070	0.040	0.040	0.020	0.040	0.020	0.020
1.227	0.354	8.000	28.000	24.000	52.000	0.050	0.000	0.030	0.030	0.030	0.060	0.050	0.110	0.110	0.000	0.170	0.130	0.090	0.010	0.030	0.010	0.010	0.030	0.050
0.338	0.308	8.000	30.000	30.000	60.000	0.030	0.050	0.020	0.000	0.030	0.050	0.080	0.080	0.070	0.000	0.210	0.160	0.080	0.020	0.040	0.020	0.030	0.020	0.010
1.029	0.281	7.000	33.000	33.000	66.000	0.040	0.010	0.000	0.030	0.030	0.050	0.040	0.140	0.160	0.010	0.130	0.130	0.090	0.020	0.020	0.040	0.030	0.030	0.000
1.071	0.390	7.000	26.000	27.000	53.000	0.040	0.020	0.040	0.000	0.030	0.060	0.060	0.090	0.070	0.000	0.170	0.160	0.150	0.020	0.030	0.020	0.010	0.010	0.020
0.556	0.308	8.000	28.000	26.000	54.000	0.010	0.020	0.040	0.020	0.010	0.060	0.100	0.100	0.130	0.000	0.150	0.140	0.060	0.040	0.030	0.040	0.010	0.020	0.020
0.882	0.275	8.000	25.000	25.000	50.000	0.030	0.030	0.020	0.040	0.040	0.050	0.040	0.090	0.090	0.000	0.160	0.140	0.090	0.060	0.050	0.030	0.020	0.020	0.000
0.491	0.288	8.000	21.000	30.000	51.000	0.040	0.020	0.020	0.020	0.030	0.040	0.100	0.110	0.100	0.000	0.110	0.130	0.090	0.040	0.050	0.050	0.040	0.010	0.000
1.630	0.278	8.000	25.000	23.000	48.000	0.040	0.010	0.030	0.050	0.010	0.040	0.090	0.120	0.120	0.000	0.130	0.090	0.050	0.070	0.030	0.030	0.030	0.030	0.030
1.993	0.286	8.000	23.000	32.000	55.000	0.060	0.020	0.020	0.030	0.060	0.050	0.030	0.060	0.090	0.000	0.140	0.180	0.100	0.030	0.020	0.040	0.010	0.050	0.010
2.496	0.260	8.000	29.000	20.000	49.000	0.050	0.030	0.020	0.030	0.030	0.030	0.050	0.070	0.110	0.020	0.160	0.130	0.100	0.040	0.060	0.030	0.010	0.020	0.010
1.052	0.311	8.000	30.000	31.000	61.000	0.060	0.020	0.010	0.030	0.000	0.040	0.040	0.130	0.150	0.000	0.150	0.140	0.060	0.040	0.030	0.050	0.010	0.010	0.030
1.123	0.282	8.000	26.000	27.000	53.000	0.010	0.040	0.020	0.040	0.030	0.040	0.080	0.110	0.150	0.000	0.120	0.120	0.060	0.010	0.040	0.040	0.040	0.040	0.010
1.263	0.334	8.000	28.000	29.000	57.000	0.050	0.010	0.030	0.030	0.020	0.010	0.040	0.150	0.170	0.010	0.110	0.100	0.080	0.080	0.030	0.020	0.010	0.010	0.040
1.251	0.359	7.000	29.000	32.000	61.000	0.040	0.040	0.010	0.020	0.030	0.030	0.010	0.130	0.100	0.000	0.190	0.160	0.120	0.040	0.040	0.010	0.010	0.010	0.010
1.258	0.294	7.000	27.000	29.000	56.000	0.020	0.020	0.030	0.020	0.010	0.050	0.080	0.180	0.170	0.000	0.080	0.070	0.070	0.060	0.020	0.030	0.030	0.010	0.050
0.642	0.287	8.000	35.000	23.000	58.000	0.030	0.010	0.030	0.010	0.030	0.040	0.070	0.110	0.210	0.000	0.100	0.110	0.070	0.040	0.050	0.050	0.010	0.010	0.020
1.028	0.284	9.000	24.000	25.000	49.000	0.040	0.030	0.040	0.020	0.060	0.010	0.040	0.090	0.060	0.000	0.180	0.170	0.130	0.010	0.040	0.040	0.020	0.010	0.010
1.314	0.284	7.000	24.000	22.000	46.000	0.030	0.030	0.010	0.060	0.020	0.040	0.080	0.090	0.080	0.000	0.160	0.130	0.120	0.060	0.010	0.020	0.010	0.010	0.040
2.417	0.348	8.000	25.000	23.000	48.000	0.060	0.010	0.020	0.020	0.050	0.020	0.050	0.100	0.140	0.000	0.110	0.130	0.140	0.060	0.010	0.020	0.010	0.020	0.030
1.406	0.336	7.000	23.000	31.000	54.000	0.020	0.010	0.040	0.020	0.020	0.050	0.090	0.160	0.180	0.010	0.050	0.110	0.040	0.040	0.020	0.020	0.030	0.060	0.030
1.506	0.325	7.000	24.000	24.000	48.000	0.040	0.010	0.020	0.020	0.050	0.050	0.060	0.110	0.130	0.010	0.110	0.130	0.100	0.010	0.040	0.050	0.020	0.030	0.010
0.952	0.375	8.000	29.000	22.000	51.000	0.070	0.040	0.020	0.010	0.030	0.030	0.050	0.040	0.090	0.000	0.180	0.160	0.120	0.060	0.030	0.030	0.020	0.010	0.010
R	RNG	RG	CS1	CS2	CST	A-9	A-8	A-7	A-6	A-5	A-4	A-3	A-2	A-1	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9
4.475	0.294	6.000	10.000	18.000	28.000	0.030	0.020	0.040	0.070	0.070	0.050	0.070	0.070	0.070	0.000	0.030	0.110	0.080	0.100	0.070	0.040	0.040	0.020	0.020
1.501	0.314	8.000	26.000	25.000	51.000	0.040	0.050	0.040	0.020	0.010	0.040	0.030	0.080	0.080	0.000	0.180	0.170	0.090	0.040	0.070	0.030	0.020	0.010	0.000
1.767	0.332	8.000	25.000	31.000	56.000	0.040	0.070	0.010	0.010	0.030	0.080	0.030	0.070	0.040	0.000	0.210	0.180	0.060	0.020	0.060	0.040	0.010	0.010	0.030
1.175	0.270	8.000	36.000	24.000	60.000	0.040	0.020	0.020	0.040	0.040	0.030	0.070	0.070	0.120	0.000	0.160	0.160	0.050	0.040	0.050	0.030	0.020	0.030	0.010
1.213	0.295	8.000	27.000	25.000	52.000	0.050	0.040	0.030	0.010	0.030	0.040	0.070	0.050	0.040	0.010	0.210	0.180	0.070	0.040	0.080	0.020	0.010	0.010	0.010
1.126	0.272	8.000	27.000	21.000	48.000	0.040	0.020	0.020	0.030	0.020	0.060	0.070	0.070	0.100	0.000	0.170	0.150	0.110	0.030	0.050	0.000	0.030	0.020	0.010
0.777	0.394	8.000	25.000	22.000	47.000	0.090	0.020	0.030	0.020	0.010	0.050	0.030	0.100	0.080	0.000	0.150	0.110	0.090	0.050	0.060	0.030	0.040	0.040	0.000
1.321	0.274	8.000	25.000	22.000	47.000	0.030	0.030	0.010	0.040	0.020	0.050	0.060	0.140	0.180	0.000	0.070	0.080	0.050	0.080	0.050	0.040	0.020	0.020	0.030
1.704	0.274	7.000	36.000	22.000	58.000	0.030	0.030	0.030	0.010	0.000	0.070	0.080	0.070	0.130	0.010	0.190	0.130	0.070	0.030	0.040	0.020	0.030	0.010	0.020
0.887	0.277	7.000	27.000	31.000	58.000	0.040	0.010	0.020	0.010	0.030	0.040	0.080	0.130	0.140	0.000	0.130	0.120	0.080	0.060	0.040	0.020	0.010	0.010	0.030
0.393	0.263	8.000	30.000	28.000	58.000	0.020	0.030	0.020	0.000	0.030	0.060	0.110	0.070	0.140	0.000	0.160	0.150	0.060	0.040	0.020	0.030	0.020	0.020	0.020
0.490	0.285	8.000	28.000	35.000	63.000	0.010	0.000	0.040	0.000	0.040	0.060	0.070	0.150	0.170	0.000	0.110	0.130	0.080	0.060	0.010	0.010	0.000	0.010	0.050
0.623	0.283	8.000	29.000	23.000	52.000	0.020	0.030	0.010	0.020	0.040	0.080	0.040	0.090	0.140	0.000	0.160	0.120	0.090	0.040	0.060	0.020	0.020	0.000	0.020
0.952	0.326	8.000	32.000	26.000	58.000	0.030	0.020	0.020	0.030	0.030	0.020	0.060	0.120	0.140	0.000	0.160	0.140	0.100	0.020	0.050	0.010	0.010	0.020	0.020
1.936	0.299	8.000	26.000	25.000	51.000	0.010	0.060	0.000	0.040	0.000	0.020	0.100	0.110	0.140	0.020	0.120	0.120	0.100	0.050	0.060	0.000	0.030	0.000	0.020
1.489	0.262	7.000	26.000	32.000	58.000	0.020	0.020	0.050	0.040	0.010	0.010	0.070	0.160	0.130	0.000	0.130	0.100	0.050	0.050	0.070	0.040	0.010	0.020	0.020
1.127	0.303	8.000	33.000	24.000	57.000	0.030	0.010	0.040	0.010	0.060	0.060	0.040	0.110	0.100	0.000	0.170	0.110	0.090	0.040	0.040	0.040	0.000	0.040	0.010
0.659	0.312	8.000	31.000	32.000	63.000	0.040	0.030	0.020	0.020	0.020	0.050	0.020	0.110	0.160	0.000	0.130	0.160	0.050	0.090	0.030	0.030	0.020	0.010	0.010
1.483	0.276	8.000	26.000	24.000	50.000	0.040	0.010	0.020	0.030	0.030	0.050	0.090	0.100	0.110	0.000	0.150	0.140	0.070	0.020	0.040	0.020	0.020	0.030	0.030
2.370	0.312	7.000	33.000	24.000	57.000	0.050	0.020	0.030	0.040	0.020	0.030	0.060	0.080	0.110	0.010	0.180	0.120	0.100	0.010	0.030	0.030	0.020	0.040	0.020
0.943	0.261	8.000	28.000	24.000	52.000	0.040	0.020	0.030	0.020	0.010	0.040	0.070	0.100	0.160	0.000	0.120	0.120	0.100	0.050	0.040	0.030	0.020	0.020	0.010
0.674	0.275	8.000	31.000	29.000	60.000	0.050	0.040	0.020	0.030	0.020	0.050	0.040	0.090	0.110	0.000	0.160	0.160	0.060	0.020	0.020	0.040	0.030	0.030	0.030
0.534	0.239	8.000	27.000	29.000	56.000	0.040	0.030	0.030	0.030	0.020	0.030	0.050	0.110	0.130	0.000	0.140	0.120	0.060	0.070	0.060	0.030	0.020	0.020	0.010
1.173	0.293	8.000	26.000	24.000	50.000	0.030	0.020	0.030	0.050	0.050	0.000	0.070	0.100	0.120	0.000	0.140	0.130	0.080	0.050	0.050	0.020	0.000	0.030	0.030
1.382	0.379	7.000	28.000	26.000	54.000	0.070	0.000	0.010	0.010	0.040	0.040	0.070	0.090	0.100	0.010	0.180	0.150	0.110	0.020	0.000	0.020	0.040	0.040	0.000
1.932	0.324	8.000	32.000	20.000	52.000	0.040	0.040	0.020	0.010	0.050	0.020	0.050	0.090	0.140	0.000	0.160	0.110	0.090	0.050	0.040	0.040	0.020	0.020	0.010
1.543	0.330	8.000	29.000	27.000	56.000	0.040	0.010	0.050	0.010	0.040	0.050	0.070	0.090	0.090	0.000	0.180	0.160	0.040	0.040	0.010	0.020	0.050	0.020	0.030
0.990	0.280	8.000	29.000	25.000	54.000	0.040	0.030	0.040	0.030	0.020	0.030	0.050	0.100	0.130	0.000	0.160	0.130	0.070	0.030	0.020	0.020	0.040	0.030	0.030
1.452	0.306	8.000	28.000	24.000	52.000	0.030	0.050	0.010	0.030	0.050	0.020	0.070	0.060	0.080	0.000	0.180	0.160	0.100	0.050	0.040	0.050	0.010	0.000	0.010
1.065	0.304	9.000	29.000	32.000	61.000	0.040	0.030	0.010	0.040	0.010	0.030	0.050	0.140	0.120	0.000	0.150	0.120	0.090	0.060	0.040	0.010	0.020	0.030	0.010
0.941	0.305	7.000	29.000	28.000	57.000	0.060	0.010	0.010	0.020	0.040	0.050	0.040	0.110	0.070	0.000	0.200	0.160	0.080	0.030	0.070	0.000	0.020	0.020	0.010
0.544	0.280	8.000	34.000	28.000	62.000	0.020	0.030	0.000	0.000	0.040	0.060	0.060	0.150	0.160	0.000	0.150	0.110	0.060	0.030	0.040	0.040	0.020	0.020	0.010
1.318	0.335	8.000	27.000	26.000	53.000	0.080	0.000	0.010	0.020	0.030	0.020	0.080	0.100	0.100	0.000	0.170	0.140	0.060	0.080	0.020	0.030	0.030	0.030	0.000
0.825	0.323	7.000	29.000	25.000	54.000	0.040	0.010	0.020	0.030	0.040	0.020	0.110	0.100	0.090	0.010	0.160	0.110	0.090	0.070	0.020	0.020	0.010	0.010	0.040
0.997	0.310	8.000	29.000	31.000	60.000	0.020	0.040	0.050	0.020	0.010	0.040	0.050	0.090	0.130	0.000	0.170	0.160	0.040	0.040	0.040	0.060	0.020	0.010	0.010
1.530	0.285	7.000	30.000	25.000	55.000	0.040	0.020	0.020	0.020	0.030	0.050	0.060	0.080	0.130	0.010	0.150	0.130	0.130	0.030	0.030	0.020	0.010	0.020	0.020
R	RNG	RG	CS1	CS2	CST	A-9	A-8	A-7	A-6	A-5	A-4	A-3	A-2	A-1	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9
3.623	0.312	6.000	11.000	16.000	27.000	0.050	0.030	0.050	0.080	0.050	0.020	0.110	0.030	0.060	0.000	0.050	0.110	0.070	0.080	0.040	0.030	0.040	0.060	0.040
0.397	0.269	8.000	33.000	30.000	63.000	0.010	0.040	0.020	0.020	0.050	0.040	0.050	0.120	0.140	0.000	0.150	0.120	0.060	0.040	0.060	0.020	0.040	0.000	0.020
1.108	0.301	8.000	30.000	29.000	59.000	0.040	0.020	0.030	0.040	0.030	0.030	0.080	0.100	0.060	0.000	0.220	0.130	0.040	0.010	0.060	0.040	0.010	0.050	0.010
0.596	0.321	8.000	27.000	24.000	51.000	0.040	0.030	0.030	0.000	0.060	0.020	0.060	0.080	0.150	0.010	0.120	0.140	0.090	0.020	0.040	0.060	0.030	0.020	0.000
1.000	0.335	8.000	34.000	37.000	71.000	0.040	0.020	0.020	0.000	0.030	0.020	0.080	0.130	0.130	0.000	0.170	0.140	0.080	0.040	0.040	0.020	0.000	0.010	0.030
0.314	0.262	9.000	29.000	29.000	58.000	0.020	0.020	0.020	0.030	0.020	0.060	0.050	0.110	0.130	0.010	0.170	0.160	0.060	0.040	0.020	0.030	0.010	0.040	0.000
0.853	0.337	8.000	32.000	33.000	65.000	0.020	0.030	0.010	0.040	0.040	0.040	0.020	0.160	0.160	0.000	0.150	0.130	0.030	0.020	0.010	0.050	0.050	0.010	0.030
0.540	0.303	8.000	30.000	29.000	59.000	0.020	0.060	0.010	0.030	0.010	0.060	0.030	0.100	0.110	0.000	0.190	0.130	0.090	0.060	0.020	0.060	0.000	0.000	0.020
0.840	0.304	8.000	31.000	35.000	66.000	0.040	0.010	0.020	0.040	0.040	0.030	0.040	0.100	0.090	0.010	0.200	0.190	0.020	0.070	0.030	0.010	0.060	0.000	0.000
1.209	0.281	8.000	26.000	37.000	63.000	0.050	0.010	0.010	0.020	0.060	0.050	0.030	0.100	0.100	0.020	0.160	0.170	0.050	0.060	0.020	0.040	0.030	0.010	0.010
1.263	0.318	8.000	26.000	31.000	57.000	0.040	0.010	0.020	0.030	0.030	0.060	0.040	0.110	0.120	0.000	0.140	0.160	0.080	0.040	0.050	0.040	0.000	0.010	0.020
0.540	0.267	8.000	31.000	35.000	66.000	0.040	0.020	0.010	0.030	0.030	0.040	0.050	0.120	0.140	0.000	0.140	0.130	0.040	0.090	0.050	0.030	0.020	0.020	0.000
0.452	0.262	8.000	30.000	30.000	60.000	0.020	0.040	0.000	0.020	0.080	0.040	0.040	0.090	0.130	0.000	0.150	0.150	0.080	0.030	0.040	0.050	0.030	0.000	0.010
0.897	0.312	8.000	22.000	30.000	52.000	0.050	0.050	0.030	0.030	0.010	0.060	0.030	0.110	0.060	0.000	0.160	0.130	0.060	0.030	0.050	0.090	0.010	0.040	0.000
1.939	0.332	8.000	31.000	35.000	66.000	0.030	0.030	0.000	0.010	0.050	0.040	0.070	0.160	0.130	0.000	0.140	0.130	0.020	0.030	0.040	0.050	0.030	0.010	0.030
0.751	0.294	8.000	32.000	31.000	63.000	0.060	0.010	0.020	0.030	0.020	0.010	0.090	0.100	0.110	0.010	0.170	0.170	0.030	0.040	0.010	0.040	0.030	0.050	0.000
1.877	0.313	7.000	24.000	36.000	60.000	0.040	0.030	0.020	0.020	0.050	0.040	0.090	0.070	0.050	0.010	0.200	0.150	0.040	0.040	0.040	0.050	0.030	0.030	0.000
0.430	0.300	8.000	26.000	38.000	64.000	0.040	0.010	0.000	0.030	0.030	0.060	0.120	0.050	0.080	0.000	0.180	0.210	0.040	0.050	0.030	0.040	0.010	0.010	0.010
1.581	0.264	8.000	31.000	30.000	61.000	0.010	0.040	0.020	0.030	0.030	0.020	0.060	0.160	0.120	0.000	0.160	0.080	0.080	0.090	0.030	0.020	0.020	0.020	0.010
1.535	0.300	8.000	32.000	36.000	68.000	0.060	0.010	0.030	0.030	0.040	0.010	0.020	0.130	0.140	0.000	0.140	0.150	0.050	0.050	0.050	0.020	0.030	0.020	0.020
1.478	0.362	8.000	32.000	35.000	67.000	0.050	0.020	0.020	0.040	0.000	0.040	0.090	0.060	0.110	0.000	0.170	0.190	0.040	0.070	0.010	0.040	0.020	0.000	0.030
0.642	0.262	8.000	32.000	31.000	63.000	0.020	0.020	0.020	0.030	0.030	0.050	0.080	0.120	0.120	0.000	0.160	0.160	0.040	0.030	0.020	0.010	0.020	0.040	0.030
0.961	0.328	8.000	30.000	32.000	62.000	0.060	0.030	0.000	0.040	0.040	0.020	0.040	0.130	0.060	0.000	0.200	0.140	0.040	0.070	0.040	0.020	0.040	0.010	0.020
1.045	0.247	8.000	27.000	14.000	41.000	0.040	0.040	0.010	0.030	0.050	0.070	0.070	0.050	0.080	0.000	0.180	0.090	0.060	0.070	0.060	0.020	0.050	0.010	0.020
0.720	0.287	8.000	28.000	45.000	73.000	0.020	0.040	0.020	0.020	0.030	0.030	0.050	0.140	0.100	0.000	0.180	0.170	0.050	0.030	0.030	0.040	0.020	0.030	0.000
1.233	0.330	8.000	33.000	28.000	61.000	0.030	0.060	0.000	0.030	0.020	0.040	0.030	0.110	0.140	0.010	0.170	0.130	0.070	0.020	0.060	0.020	0.010	0.020	0.030
0.933	0.342	8.000	26.000	31.000	57.000	0.060	0.020	0.040	0.020	0.030	0.020	0.050	0.090	0.070	0.000	0.190	0.180	0.040	0.050	0.050	0.030	0.050	0.010	0.000
