R	RNG	RG	CS1	CS2	CST	A-9	A-8	A-7	A-6	A-5	A-4	A-3	A-2	A-1	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9
10.831	0.457	5.000	13.000	11.000	24.000	0.020	0.040	0.070	0.060	0.110	0.050	0.040	0.050	0.060	0.010	0.070	0.050	0.060	0.010	0.060	0.080	0.090	0.050	0.020
1.017	0.303	8.000	27.000	24.000	51.000	0.030	0.030	0.010	0.010	0.030	0.040	0.090	0.100	0.140	0.010	0.140	0.120	0.090	0.070	0.030	0.000	0.030	0.000	0.030
0.289	0.257	8.000	31.000	20.000	51.000	0.040	0.050	0.050	0.010	0.000	0.020	0.080	0.090	0.130	0.000	0.160	0.110	0.060	0.030	0.050	0.030	0.050	0.020	0.020
0.873	0.281	8.000	29.000	23.000	52.000	0.030	0.030	0.040	0.030	0.000	0.030	0.050	0.130	0.150	0.000	0.140	0.100	0.100	0.030	0.060	0.020	0.020	0.030	0.010
0.770	0.351	7.000	28.000	27.000	55.000	0.010	0.030	0.020	0.010	0.020	0.040	0.120	0.120	0.170	0.000	0.110	0.130	0.030	0.070	0.030	0.010	0.040	0.030	0.010
1.110	0.301	8.000	28.000	26.000	54.000	0.020	0.020	0.020	0.030	0.020	0.030	0.100	0.150	0.170	0.000	0.110	0.090	0.060	0.040	0.020	0.040	0.010	0.020	0.050
0.579	0.322	9.000	29.000	24.000	53.000	0.030	0.020	0.010	0.020	0.030	0.030	0.110	0.130	0.160	0.010	0.110	0.120	0.040	0.010	0.060	0.030	0.020	0.030	0.030
1.516	0.324	8.000	33.000	21.000	54.000	0.020	0.020	0.010	0.020	0.030	0.070	0.080	0.110	0.150	0.010	0.140	0.100	0.100	0.030	0.020	0.010	0.020	0.030	0.030
1.165	0.285	8.000	27.000	22.000	49.000	0.020	0.020	0.060	0.010	0.020	0.040	0.060	0.120	0.170	0.000	0.100	0.100	0.100	0.070	0.030	0.010	0.010	0.030	0.030
2.069	0.301	7.000	24.000	23.000	47.000	0.040	0.020	0.040	0.050	0.020	0.010	0.080	0.110	0.150	0.000	0.090	0.100	0.080	0.040	0.050	0.030	0.010	0.060	0.020
2.174	0.273	8.000	27.000	24.000	51.000	0.020	0.040	0.020	0.030	0.040	0.040	0.080	0.110	0.160	0.010	0.070	0.090	0.070	0.060	0.060	0.010	0.020	0.030	0.040
0.729	0.262	8.000	28.000	24.000	52.000	0.030	0.040	0.020	0.020	0.010	0.040	0.090	0.110	0.170	0.010	0.110	0.110	0.040	0.030	0.050	0.040	0.020	0.020	0.040
0.952	0.292	8.000	28.000	23.000	51.000	0.020	0.030	0.040	0.010	0.040	0.040	0.090	0.110	0.130	0.000	0.130	0.120	0.070	0.030	0.010	0.030	0.030	0.030	0.040
0.656	0.289	9.000	31.000	20.000	51.000	0.020	0.040	0.010	0.030	0.030	0.010	0.110	0.100	0.150	0.010	0.160	0.100	0.050	0.070	0.010	0.020	0.010	0.040	0.030
0.214	0.222	8.000	24.000	34.000	58.000	0.030	0.040	0.010	0.010	0.030	0.030	0.070	0.160	0.120	0.000	0.120	0.130	0.070	0.050	0.050	0.020	0.020	0.020	0.020
0.887	0.285	8.000	29.000	27.000	56.000	0.030	0.020	0.030	0.040	0.000	0.030	0.080	0.120	0.120	0.000	0.150	0.130	0.100	0.040	0.040	0.020	0.020	0.000	0.030
1.413	0.294	8.000	32.000	21.000	53.000	0.020	0.050	0.000	0.040	0.040	0.040	0.060	0.110	0.120	0.000	0.160	0.100	0.090	0.040	0.030	0.020	0.030	0.020	0.030
1.338	0.290	8.000	29.000	23.000	52.000	0.040	0.060	0.010	0.010	0.040	0.020	0.070	0.090	0.110	0.000	0.160	0.120	0.090	0.070	0.020	0.000	0.040	0.030	0.020
1.411	0.280	8.000	26.000	21.000	47.000	0.030	0.030	0.020	0.030	0.020	0.040	0.100	0.090	0.140	0.000	0.120	0.110	0.090	0.050	0.030	0.010	0.060	0.000	0.030
