R	RNG	RG	CS1	CS2	CST	A-9	A-8	A-7	A-6	A-5	A-4	A-3	A-2	A-1	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9
0.338	0.248	8.000	33.000	23.000	56.000	0.020	0.010	0.030	0.020	0.020	0.090	0.070	0.090	0.180	0.010	0.110	0.120	0.050	0.020	0.050	0.050	0.010	0.030	0.020
0.993	0.319	8.000	26.000	32.000	58.000	0.050	0.000	0.030	0.030	0.060	0.060	0.030	0.110	0.070	0.000	0.190	0.150	0.010	0.020	0.100	0.020	0.030	0.030	0.010
0.262	0.318	9.000	29.000	29.000	58.000	0.020	0.000	0.030	0.040	0.040	0.030	0.030	0.190	0.170	0.010	0.120	0.070	0.060	0.050	0.050	0.000	0.030	0.050	0.010
1.219	0.358	8.000	30.000	44.000	74.000	0.050	0.040	0.000	0.030	0.030	0.020	0.040	0.120	0.070	0.000	0.220	0.180	0.060	0.040	0.020	0.020	0.020	0.030	0.010
2.129	0.345	9.000	43.000	29.000	72.000	0.020	0.020	0.000	0.050	0.050	0.030	0.040	0.110	0.160	0.010	0.170	0.110	0.060	0.080	0.030	0.010	0.000	0.040	0.010
1.096	0.304	8.000	35.000	29.000	64.000	0.030	0.010	0.050	0.010	0.010	0.040	0.060	0.120	0.150	0.000	0.160	0.090	0.090	0.070	0.040	0.040	0.030	0.000	0.000
1.013	0.359	8.000	31.000	26.000	57.000	0.000	0.010	0.010	0.080	0.080	0.040	0.030	0.110	0.120	0.000	0.170	0.110	0.060	0.030	0.050	0.050	0.020	0.030	0.000
0.751	0.301	8.000	33.000	29.000	62.000	0.020	0.010	0.050	0.010	0.040	0.070	0.090	0.040	0.100	0.000	0.210	0.170	0.050	0.010	0.050	0.010	0.040	0.000	0.030
0.473	0.321	9.000	36.000	32.000	68.000	0.020	0.020	0.030	0.020	0.030	0.030	0.060	0.120	0.170	0.000	0.140	0.160	0.050	0.060	0.000	0.000	0.060	0.010	0.020
2.986	0.328	8.000	39.000	34.000	73.000	0.000	0.010	0.030	0.020	0.040	0.070	0.100	0.100	0.170	0.000	0.090	0.140	0.050	0.050	0.030	0.060	0.000	0.030	0.010
0.556	0.320	9.000	79.000	18.000	97.000	0.040	0.050	0.000	0.000	0.010	0.040	0.070	0.070	0.140	0.010	0.270	0.110	0.030	0.060	0.030	0.030	0.020	0.010	0.010
1.311	0.273	8.000	36.000	17.000	53.000	0.030	0.020	0.020	0.020	0.070	0.050	0.030	0.090	0.140	0.000	0.160	0.070	0.100	0.100	0.030	0.020	0.020	0.030	0.000
0.473	0.324	10.000	50.000	22.000	72.000	0.040	0.020	0.020	0.010	0.080	0.040	0.030	0.070	0.150	0.010	0.200	0.110	0.030	0.020	0.050	0.060	0.040	0.000	0.020
2.516	0.315	8.000	51.000	15.000	66.000	0.020	0.040	0.000	0.040	0.040	0.030	0.080	0.090	0.140	0.000	0.190	0.040	0.100	0.060	0.030	0.050	0.040	0.010	0.000
0.790	0.314	9.000	35.000	14.000	49.000	0.040	0.000	0.000	0.040	0.050	0.040	0.120	0.100	0.070	0.000	0.200	0.050	0.090	0.110	0.020	0.010	0.010	0.050	0.000
0.812	0.330	8.000	50.000	21.000	71.000	0.040	0.020	0.040	0.010	0.030	0.030	0.050	0.100	0.070	0.000	0.270	0.090	0.100	0.070	0.030	0.020	0.000	0.020	0.010
0.576	0.333	9.000	74.000	8.000	82.000	0.040	0.010	0.020	0.040	0.030	0.050	0.120	0.040	0.070	0.000	0.290	0.040	0.040	0.040	0.080	0.040	0.030	0.000	0.020
3.062	0.370	9.000	59.000	14.000	73.000	0.020	0.030	0.010	0.030	0.040	0.070	0.070	0.060	0.150	0.000	0.200	0.080	0.030	0.020	0.090	0.080	0.000	0.010	0.010
0.818	0.248	8.000	38.000	18.000	56.000	0.030	0.000	0.030	0.020	0.050	0.090	0.080	0.060	0.120	0.020	0.160	0.100	0.020	0.060	0.030	0.080	0.020	0.010	0.020
1.280	0.339	7.000	32.000	18.000	50.000	0.010	0.010	0.060	0.010	0.070	0.030	0.070	0.120	0.140	0.000	0.120	0.060	0.100	0.040	0.010	0.100	0.040	0.010	0.000
1.526	0.335	7.000	39.000	17.000	56.000	0.010	0.020	0.010	0.080	0.040	0.040	0.020	0.120	0.150	0.010	0.160	0.030	0.110	0.060	0.080	0.010	0.040	0.010	0.000
0.812	0.341	9.000	53.000	28.000	81.000	0.020	0.040	0.000	0.010	0.020	0.020	0.060	0.130	0.190	0.020	0.180	0.110	0.040	0.040	0.050	0.050	0.020	0.000	0.000
0.843	0.293	8.000	49.000	11.000	60.000	0.030	0.030	0.020	0.050	0.040	0.040	0.060	0.070	0.160	0.010	0.170	0.040	0.040	0.040	0.060	0.070	0.020	0.050	0.000
1.171	0.312	9.000	45.000	16.000	61.000	0.010	0.010	0.000	0.020	0.070	0.050	0.110	0.080	0.130	0.000	0.210	0.080	0.080	0.030	0.060	0.010	0.040	0.000	0.010
0.631	0.315	8.000	44.000	20.000	64.000	0.040	0.020	0.020	0.020	0.040	0.060	0.010	0.090	0.110	0.000	0.250	0.100	0.090	0.070	0.020	0.010	0.020	0.030	0.000
1.111	0.290	8.000	61.000	12.000	73.000	0.000	0.010	0.030	0.030	0.080	0.060	0.080	0.030	0.230	0.000	0.120	0.070	0.080	0.040	0.030	0.020	0.040	0.020	0.030
2.174	0.323	9.000	57.000	11.000	68.000	0.010	0.020	0.000	0.030	0.040	0.040	0.120	0.070	0.200	0.010	0.150	0.040	0.080	0.080	0.040	0.030	0.020	0.000	0.020
2.201	0.311	8.000	30.000	25.000	55.000	0.020	0.000	0.040	0.030	0.020	0.070	0.100	0.100	0.100	0.010	0.180	0.110	0.020	0.030	0.060	0.060	0.020	0.030	0.000
0.305	0.307	8.000	72.000	14.000	86.000	0.030	0.010	0.020	0.060	0.040	0.010	0.060	0.100	0.140	0.000	0.260	0.020	0.060	0.060	0.030	0.020	0.030	0.040	0.010
1.236	0.357	7.000	46.000	32.000	78.000	0.030	0.020	0.000	0.060	0.010	0.050	0.050	0.140	0.120	0.000	0.190	0.060	0.100	0.020	0.100	0.010	0.010	0.000	0.030
1.025	0.279	8.000	63.000	12.000	75.000	0.010	0.010	0.010	0.060	0.030	0.070	0.060	0.050	0.230	0.020	0.140	0.050	0.080	0.070	0.020	0.010	0.040	0.020	0.020
1.117	0.323	8.000	55.000	21.000	76.000	0.030	0.000	0.070	0.050	0.010	0.060	0.030	0.060	0.170	0.000	0.140	0.110	0.030	0.080	0.080	0.040	0.010	0.020	0.010
0.934	0.316	8.000	49.000	27.000	76.000	0.000	0.020	0.050	0.020	0.020	0.060	0.020	0.120	0.250	0.000	0.120	0.100	0.080	0.000	0.010	0.070	0.020	0.010	0.030
1.109	0.408	7.000	82.000	13.000	95.000	0.010	0.010	0.000	0.010	0.020	0.050	0.160	0.100	0.080	0.000	0.340	0.020	0.060	0.020	0.100	0.010	0.000	0.000	0.010
1.105	0.272	9.000	53.000	28.000	81.000	0.000	0.020	0.010	0.000	0.050	0.060	0.080	0.130	0.170	0.020	0.170	0.090	0.040	0.040	0.030	0.030	0.050	0.010	0.000
0.866	0.294	8.000	43.000	14.000	57.000	0.010	0.010	0.060	0.050	0.070	0.060	0.020	0.060	0.150	0.010	0.140	0.060	0.010	0.120	0.070	0.040	0.040	0.010	0.010
1.141	0.327	9.000	56.000	18.000	74.000	0.030	0.010	0.030	0.020	0.030	0.060	0.040	0.120	0.140	0.010	0.200	0.060	0.060	0.030	0.060	0.070	0.020	0.000	0.010
2.241	0.324	8.000	46.000	17.000	63.000	0.050	0.000	0.020	0.010	0.040	0.130	0.030	0.050	0.170	0.010	0.120	0.100	0.050	0.070	0.040	0.020	0.070	0.010	0.010
0.970	0.295	8.000	51.000	15.000	66.000	0.020	0.000	0.000	0.020	0.050	0.110	0.050	0.070	0.190	0.010	0.170	0.080	0.070	0.060	0.020	0.010	0.030	0.040	0.000
2.201	0.344	7.000	49.000	53.000	102.000	0.020	0.010	0.010	0.020	0.020	0.020	0.030	0.190	0.170	0.010	0.170	0.100	0.100	0.070	0.040	0.020	0.000	0.000	0.000
0.790	0.311	8.000	54.000	29.000	83.000	0.040	0.010	0.040	0.030	0.020	0.030	0.040	0.130	0.120	0.010	0.220	0.100	0.030	0.040	0.020	0.040	0.030	0.050	0.000
0.757	0.285	8.000	40.000	14.000	54.000	0.010	0.010	0.010	0.020	0.090	0.070	0.070	0.080	0.140	0.000	0.160	0.070	0.070	0.080	0.050	0.000	0.040	0.030	0.000
0.508	0.271	8.000	55.000	21.000	76.000	0.010	0.020	0.020	0.040	0.040	0.040	0.060	0.110	0.210	0.000	0.120	0.060	0.060	0.100	0.030	0.010	0.030	0.000	0.040
1.330	0.305	8.000	61.000	42.000	103.000	0.000	0.010	0.050	0.040	0.020	0.020	0.050	0.150	0.170	0.010	0.180	0.100	0.020	0.050	0.040	0.040	0.020	0.020	0.010
0.867	0.293	9.000	58.000	23.000	81.000	0.020	0.000	0.020	0.030	0.090	0.040	0.010	0.150	0.180	0.010	0.140	0.010	0.080	0.050	0.050	0.090	0.020	0.000	0.010
0.868	0.365	10.000	66.000	60.000	126.000	0.040	0.000	0.010	0.000	0.010	0.020	0.050	0.260	0.140	0.000	0.140	0.050	0.150	0.070	0.020	0.010	0.000	0.030	0.000
0.354	0.446	10.000	345.000	6.000	351.000	0.030	0.000	0.020	0.020	0.020	0.040	0.090	0.030	0.100	0.000	0.490	0.030	0.060	0.010	0.000	0.000	0.040	0.010	0.010
0.437	0.436	10.000	321.000	45.000	366.000	0.010	0.000	0.030	0.020	0.000	0.040	0.030	0.000	0.450	0.020	0.080	0.150	0.110	0.000	0.000	0.030	0.020	0.000	0.010
1.149	0.384	5.000	127.000	34.000	161.000	0.010	0.020	0.000	0.000	0.020	0.050	0.060	0.090	0.140	0.000	0.410	0.100	0.040	0.020	0.010	0.020	0.010	0.000	0.000
0.615	0.305	9.000	121.000	32.000	153.000	0.010	0.010	0.030	0.050	0.020	0.020	0.150	0.020	0.120	0.010	0.250	0.150	0.030	0.020	0.010	0.020	0.060	0.020	0.000
0.179	0.333	11.000	205.000	27.000	232.000	0.010	0.000	0.040	0.030	0.020	0.100	0.110	0.060	0.020	0.020	0.350	0.030	0.020	0.060	0.070	0.010	0.010	0.030	0.010
1.296	0.582	10.000	365.000	6.000	371.000	0.000	0.020	0.010	0.000	0.010	0.050	0.010	0.020	0.600	0.020	0.010	0.040	0.070	0.010	0.020	0.080	0.020	0.000	0.010
1.145	0.407	9.000	163.000	58.000	221.000	0.000	0.000	0.020	0.030	0.000	0.010	0.080	0.120	0.400	0.000	0.050	0.100	0.040	0.050	0.030	0.030	0.000	0.020	0.020
0.421	0.563	11.000	435.000	8.000	443.000	0.040	0.030	0.020	0.020	0.020	0.000	0.040	0.030	0.090	0.000	0.590	0.030	0.010	0.010	0.000	0.010	0.040	0.010	0.010
0.637	0.414	9.000	195.000	32.000	227.000	0.020	0.000	0.010	0.040	0.050	0.030	0.080	0.060	0.040	0.000	0.430	0.060	0.130	0.010	0.000	0.010	0.020	0.010	0.000
0.170	0.610	10.000	494.000	6.000	500.000	0.060	0.020	0.010	0.020	0.010	0.020	0.010	0.050	0.020	0.020	0.630	0.010	0.080	0.010	0.000	0.010	0.000	0.000	0.020
0.464	0.325	10.000	134.000	55.000	189.000	0.020	0.020	0.040	0.000	0.020	0.010	0.090	0.090	0.060	0.000	0.320	0.140	0.100	0.080	0.010	0.000	0.000	0.000	0.000
1.339	0.344	9.000	194.000	38.000	232.000	0.000	0.030	0.020	0.050	0.060	0.010	0.060	0.070	0.120	0.000	0.280	0.130	0.020	0.050	0.010	0.050	0.010	0.030	0.000
0.480	0.339	9.000	108.000	89.000	197.000	0.000	0.000	0.020	0.040	0.020	0.020	0.040	0.300	0.090	0.000	0.210	0.010	0.090	0.040	0.060	0.030	0.010	0.020	0.000
0.556	0.292	9.000	74.000	14.000	88.000	0.000	0.010	0.000	0.020	0.110	0.060	0.110	0.050	0.110	0.020	0.210	0.030	0.070	0.090	0.060	0.000	0.030	0.000	0.020
0.314	0.213	10.000	159.000	31.000	190.000	0.000	0.020	0.030	0.040	0.050	0.050	0.090	0.060	0.090	0.030	0.220	0.110	0.020	0.080	0.040	0.010	0.020	0.040	0.000
0.596	0.305	10.000	246.000	42.000	288.000	0.010	0.000	0.040	0.000	0.030	0.030	0.050	0.070	0.320	0.030	0.140	0.110	0.030	0.030	0.040	0.040	0.010	0.010	0.010
0.922	0.308	10.000	76.000	45.000	121.000	0.000	0.010	0.020	0.020	0.100	0.020	0.080	0.070	0.070	0.010	0.230	0.140	0.170	0.020	0.000	0.020	0.010	0.010	0.000
0.615	0.370	10.000	199.000	45.000	244.000	0.040	0.000	0.060	0.030	0.060	0.020	0.080	0.010	0.010	0.010	0.340	0.140	0.080	0.010	0.010	0.060	0.020	0.020	0.000
0.534	0.299	9.000	146.000	7.000	153.000	0.000	0.020	0.050	0.010	0.080	0.080	0.040	0.020	0.140	0.010	0.240	0.050	0.090	0.040	0.020	0.070	0.020	0.020	0.000
0.381	0.357	10.000	275.000	27.000	302.000	0.010	0.020	0.000	0.030	0.020	0.030	0.060	0.040	0.370	0.000	0.120	0.090	0.110	0.010	0.020	0.020	0.030	0.000	0.020
1.221	0.316	8.000	209.000	32.000	241.000	0.000	0.020	0.000	0.010	0.060	0.070	0.080	0.100	0.230	0.000	0.100	0.040	0.120	0.020	0.110	0.000	0.030	0.000	0.010
0.613	0.277	9.000	65.000	44.000	109.000	0.000	0.020	0.030	0.020	0.040	0.120	0.060	0.080	0.060	0.010	0.200	0.120	0.090	0.030	0.050	0.040	0.010	0.000	0.020
0.742	0.396	10.000	134.000	13.000	147.000	0.010	0.000	0.000	0.020	0.090	0.040	0.030	0.050	0.250	0.020	0.150	0.070	0.230	0.000	0.000	0.010	0.020	0.010	0.000
0.525	0.374	11.000	162.000	42.000	204.000	0.020	0.000	0.010	0.000	0.070	0.110	0.000	0.150	0.030	0.020	0.330	0.050	0.120	0.000	0.010	0.060	0.000	0.010	0.010
1.035	0.329	8.000	110.000	21.000	131.000	0.000	0.010	0.010	0.010	0.050	0.050	0.060	0.110	0.230	0.020	0.170	0.040	0.080	0.080	0.050	0.000	0.020	0.000	0.010
0.520	0.383	9.000	95.000	26.000	121.000	0.010	0.010	0.000	0.050	0.020	0.050	0.090	0.130	0.050	0.000	0.380	0.010	0.060	0.010	0.070	0.040	0.020	0.000	0.000
0.705	0.363	9.000	88.000	81.000	169.000	0.010	0.000	0.040	0.000	0.030	0.080	0.030	0.310	0.070	0.010	0.180	0.040	0.010	0.000	0.050	0.020	0.030	0.060	0.030
0.908	0.326	9.000	39.000	118.000	157.000	0.000	0.010	0.000	0.020	0.010	0.030	0.140	0.220	0.130	0.010	0.060	0.200	0.030	0.030	0.040	0.020	0.040	0.000	0.010
0.964	0.382	10.000	134.000	70.000	204.000	0.010	0.010	0.050	0.000	0.010	0.040	0.060	0.070	0.340	0.000	0.020	0.200	0.070	0.020	0.020	0.030	0.020	0.010	0.020
0.556	0.267	10.000	111.000	72.000	183.000	0.000	0.000	0.020	0.010	0.030	0.030	0.080	0.170	0.190	0.020	0.120	0.150	0.050	0.030	0.080	0.000	0.010	0.010	0.000
0.702	0.354	10.000	194.000	72.000	266.000	0.020	0.010	0.020	0.000	0.070	0.020	0.010	0.160	0.050	0.040	0.310	0.160	0.050	0.020	0.030	0.000	0.020	0.010	0.000
0.262	0.401	11.000	329.000	31.000	360.000	0.000	0.010	0.040	0.050	0.010	0.020	0.050	0.030	0.150	0.000	0.410	0.120	0.010	0.060	0.020	0.010	0.010	0.000	0.000
0.430	0.354	10.000	118.000	46.000	164.000	0.020	0.040	0.010	0.070	0.010	0.030	0.000	0.110	0.240	0.010	0.040	0.110	0.190	0.000	0.030	0.020	0.040	0.030	0.000
0.464	0.365	10.000	203.000	71.000	274.000	0.020	0.010	0.020	0.010	0.010	0.020	0.050	0.100	0.300	0.000	0.110	0.210	0.050	0.030	0.020	0.000	0.000	0.020	0.020
0.305	0.548	10.000	324.000	28.000	352.000	0.020	0.010	0.040	0.010	0.000	0.010	0.040	0.090	0.070	0.020	0.550	0.090	0.000	0.030	0.000	0.000	0.010	0.000	0.010
