R	RNG	RG	CS1	CS2	CST	A-9	A-8	A-7	A-6	A-5	A-4	A-3	A-2	A-1	A0	A1	A2	A3	A4	A5	A6	A7	A8	A9
1.334	0.252	7.000	17.000	29.000	46.000	0.020	0.030	0.030	0.040	0.010	0.050	0.110	0.110	0.140	0.000	0.040	0.100	0.090	0.050	0.080	0.050	0.010	0.030	0.010
0.567	0.223	8.000	39.000	21.000	60.000	0.020	0.010	0.050	0.060	0.060	0.030	0.040	0.100	0.120	0.000	0.090	0.100	0.090	0.100	0.050	0.020	0.020	0.000	0.040
0.639	0.233	8.000	28.000	33.000	61.000	0.010	0.030	0.020	0.040	0.040	0.120	0.030	0.110	0.080	0.000	0.110	0.120	0.060	0.090	0.050	0.040	0.010	0.030	0.010
3.252	0.313	6.000	24.000	33.000	57.000	0.020	0.010	0.020	0.060	0.020	0.070	0.100	0.130	0.080	0.000	0.100	0.060	0.150	0.000	0.080	0.050	0.010	0.020	0.020
0.706	0.212	7.000	28.000	27.000	55.000	0.010	0.020	0.040	0.020	0.070	0.040	0.130	0.080	0.100	0.000	0.100	0.140	0.030	0.040	0.050	0.050	0.030	0.030	0.020
1.620	0.277	7.000	22.000	25.000	47.000	0.000	0.030	0.060	0.050	0.050	0.080	0.060	0.050	0.080	0.000	0.080	0.120	0.120	0.070	0.050	0.040	0.040	0.020	0.000
0.707	0.268	7.000	42.000	18.000	60.000	0.000	0.000	0.040	0.060	0.030	0.060	0.110	0.090	0.130	0.000	0.130	0.080	0.080	0.070	0.010	0.020	0.040	0.040	0.010
2.122	0.274	6.000	39.000	23.000	62.000	0.030	0.020	0.040	0.020	0.040	0.070	0.070	0.080	0.120	0.000	0.130	0.110	0.060	0.060	0.030	0.010	0.080	0.010	0.020
1.794	0.258	6.000	33.000	12.000	45.000	0.010	0.020	0.020	0.040	0.090	0.060	0.100	0.030	0.160	0.000	0.080	0.070	0.080	0.060	0.040	0.070	0.040	0.030	0.000
0.615	0.221	8.000	26.000	42.000	68.000	0.000	0.010	0.030	0.060	0.030	0.090	0.090	0.080	0.110	0.000	0.090	0.140	0.070	0.080	0.020	0.040	0.030	0.020	0.010
3.128	0.262	6.000	25.000	35.000	60.000	0.000	0.020	0.050	0.040	0.060	0.050	0.050	0.120	0.110	0.010	0.060	0.090	0.140	0.080	0.040	0.030	0.020	0.020	0.010
1.180	0.295	7.000	28.000	34.000	62.000	0.030	0.050	0.010	0.030	0.040	0.050	0.070	0.090	0.160	0.000	0.040	0.110	0.060	0.060	0.080	0.080	0.020	0.010	0.010
1.071	0.276	7.000	21.000	38.000	59.000	0.000	0.030	0.020	0.070	0.080	0.070	0.020	0.100	0.080	0.000	0.090	0.120	0.120	0.040	0.060	0.060	0.020	0.010	0.010
2.155	0.306	6.000	19.000	47.000	66.000	0.020	0.020	0.030	0.080	0.020	0.060	0.080	0.100	0.070	0.000	0.100	0.110	0.060	0.060	0.100	0.030	0.030	0.020	0.010
1.497	0.274	7.000	41.000	18.000	59.000	0.000	0.010	0.030	0.060	0.040	0.070	0.100	0.060	0.140	0.010	0.130	0.080	0.080	0.040	0.020	0.060	0.030	0.030	0.010
1.171	0.262	8.000	32.000	31.000	63.000	0.010	0.010	0.010	0.040	0.030	0.050	0.120	0.160	0.150	0.010	0.070	0.090	0.040	0.040	0.040	0.060	0.010	0.040	0.020
2.432	0.296	7.000	22.000	9.000	31.000	0.010	0.050	0.060	0.030	0.070	0.070	0.050	0.070	0.080	0.000	0.100	0.020	0.140	0.070	0.040	0.030	0.050	0.020	0.040
1.395	0.253	7.000	34.000	31.000	65.000	0.020	0.000	0.050	0.030	0.040	0.090	0.070	0.110	0.070	0.010	0.120	0.100	0.110	0.020	0.050	0.030	0.040	0.030	0.010
1.035	0.273	7.000	18.000	17.000	35.000	0.020	0.020	0.040	0.070	0.050	0.070	0.060	0.060	0.090	0.010	0.080	0.070	0.110	0.070	0.060	0.050	0.050	0.000	0.020
2.935	0.277	7.000	21.000	24.000	45.000	0.010	0.010	0.050	0.070	0.040	0.040	0.110	0.080	0.040	0.010	0.110	0.100	0.100	0.090	0.070	0.030	0.010	0.010	0.020
1.848	0.295	7.000	32.000	23.000	55.000	0.010	0.010	0.040	0.050	0.040	0.090	0.070	0.090	0.090	0.010	0.120	0.100	0.050	0.060	0.030	0.070	0.050	0.020	0.000
2.090	0.300	7.000	21.000	43.000	64.000	0.000	0.010	0.060	0.060	0.060	0.080	0.050	0.080	0.130	0.000	0.040	0.100	0.070	0.080	0.040	0.060	0.060	0.010	0.010
1.791	0.276	7.000	29.000	22.000	51.000	0.040	0.030	0.030	0.050	0.020	0.040	0.080	0.080	0.080	0.000	0.150	0.110	0.080	0.050	0.050	0.030	0.050	0.010	0.020
0.867	0.236	8.000	29.000	26.000	55.000	0.000	0.010	0.020	0.070	0.030	0.110	0.080	0.110	0.080	0.000	0.120	0.090	0.050	0.060	0.060	0.040	0.030	0.030	0.010
1.762	0.250	7.000	28.000	12.000	40.000	0.000	0.020	0.030	0.040	0.100	0.090	0.060	0.070	0.100	0.010	0.100	0.050	0.070	0.070	0.050	0.060	0.060	0.010	0.010
0.583	0.256	8.000	23.000	23.000	46.000	0.010	0.030	0.010	0.070	0.050	0.060	0.060	0.110	0.110	0.000	0.100	0.090	0.070	0.070	0.040	0.040	0.030	0.050	0.000
1.236	0.270	7.000	43.000	13.000	56.000	0.000	0.030	0.030	0.030	0.050	0.170	0.040	0.040	0.080	0.000	0.150	0.080	0.050	0.060	0.080	0.070	0.010	0.020	0.010
1.740	0.302	7.000	47.000	24.000	71.000	0.000	0.010	0.020	0.060	0.060	0.060	0.080	0.050	0.210	0.000	0.080	0.110	0.050	0.040	0.050	0.070	0.020	0.020	0.010
1.221	0.260	6.000	22.000	23.000	45.000	0.030	0.040	0.020	0.090	0.040	0.060	0.070	0.050	0.070	0.000	0.070	0.120	0.080	0.090	0.040	0.040	0.020	0.030	0.040
1.165	0.278	8.000	43.000	11.000	54.000	0.020	0.060	0.030	0.040	0.040	0.090	0.060	0.060	0.100	0.000	0.140	0.030	0.050	0.050	0.050	0.090	0.020	0.040	0.030
1.752	0.246	8.000	58.000	38.000	96.000	0.020	0.030	0.040	0.030	0.050	0.040	0.050	0.080	0.180	0.000	0.090	0.120	0.050	0.050	0.040	0.070	0.020	0.020	0.020
1.753	0.283	7.000	62.000	22.000	84.000	0.040	0.030	0.010	0.050	0.050	0.010	0.070	0.070	0.130	0.020	0.190	0.070	0.030	0.070	0.060	0.010	0.040	0.050	0.000
0.714	0.266	7.000	36.000	16.000	52.000	0.010	0.020	0.020	0.040	0.060	0.040	0.090	0.080	0.170	0.010	0.100	0.080	0.080	0.040	0.040	0.050	0.030	0.040	0.000
1.422	0.227	8.000	32.000	25.000	57.000	0.010	0.030	0.010	0.050	0.050	0.080	0.060	0.110	0.090	0.010	0.130	0.080	0.060	0.070	0.060	0.030	0.040	0.020	0.010
0.916	0.266	7.000	39.000	33.000	72.000	0.000	0.030	0.020	0.030	0.080	0.080	0.050	0.100	0.140	0.000	0.090	0.090	0.060	0.060	0.040	0.060	0.050	0.010	0.010
2.390	0.299	7.000	30.000	23.000	53.000	0.000	0.020	0.050	0.040	0.040	0.040	0.070	0.110	0.090	0.000	0.130	0.110	0.100	0.100	0.070	0.000	0.020	0.000	0.010
0.305	0.218	6.000	58.000	21.000	79.000	0.020	0.010	0.050	0.040	0.060	0.050	0.040	0.050	0.110	0.020	0.190	0.100	0.070	0.050	0.050	0.050	0.010	0.010	0.020
1.165	0.277	8.000	32.000	42.000	74.000	0.000	0.020	0.050	0.030	0.040	0.050	0.150	0.060	0.080	0.000	0.140	0.140	0.040	0.030	0.070	0.040	0.010	0.030	0.020
0.408	0.219	7.000	41.000	40.000	81.000	0.010	0.020	0.020	0.050	0.050	0.060	0.050	0.090	0.130	0.000	0.140	0.150	0.060	0.030	0.030	0.040	0.050	0.020	0.000
1.431	0.298	8.000	20.000	19.000	39.000	0.040	0.040	0.040	0.020	0.040	0.030	0.080	0.100	0.050	0.010	0.110	0.050	0.160	0.090	0.040	0.070	0.020	0.010	0.000
1.882	0.254	8.000	24.000	25.000	49.000	0.020	0.020	0.030	0.060	0.060	0.040	0.070	0.090	0.100	0.010	0.100	0.100	0.060	0.070	0.050	0.050	0.030	0.020	0.020
2.725	0.291	7.000	66.000	18.000	84.000	0.010	0.030	0.020	0.070	0.020	0.030	0.060	0.120	0.140	0.010	0.190	0.040	0.030	0.040	0.070	0.070	0.020	0.030	0.000
1.794	0.240	8.000	29.000	30.000	59.000	0.010	0.020	0.020	0.010	0.060	0.100	0.080	0.100	0.100	0.000	0.110	0.110	0.040	0.080	0.080	0.050	0.020	0.010	0.000
2.993	0.281	6.000	43.000	29.000	72.000	0.010	0.010	0.030	0.030	0.060	0.060	0.060	0.090	0.130	0.000	0.160	0.140	0.040	0.060	0.030	0.040	0.010	0.030	0.010
0.867	0.241	7.000	28.000	19.000	47.000	0.020	0.040	0.020	0.030	0.060	0.030	0.080	0.090	0.120	0.000	0.100	0.080	0.100	0.090	0.040	0.070	0.010	0.010	0.010
0.388	0.214	7.000	19.000	25.000	44.000	0.010	0.020	0.040	0.050	0.060	0.060	0.120	0.050	0.090	0.000	0.060	0.140	0.060	0.040	0.070	0.070	0.020	0.030	0.010
0.742	0.229	7.000	51.000	25.000	76.000	0.000	0.020	0.050	0.010	0.070	0.040	0.090	0.090	0.140	0.020	0.110	0.090	0.060	0.090	0.010	0.040	0.030	0.020	0.020
0.617	0.282	7.000	33.000	7.000	40.000	0.010	0.020	0.010	0.060	0.050	0.100	0.080	0.050	0.100	0.020	0.150	0.020	0.090	0.090	0.050	0.050	0.020	0.010	0.020
1.355	0.317	8.000	58.000	46.000	104.000	0.010	0.020	0.000	0.050	0.030	0.030	0.040	0.150	0.260	0.000	0.070	0.090	0.030	0.070	0.060	0.050	0.040	0.000	0.000
1.012	0.204	8.000	31.000	16.000	47.000	0.000	0.030	0.060	0.030	0.040	0.070	0.090	0.050	0.120	0.000	0.110	0.090	0.080	0.100	0.030	0.040	0.010	0.030	0.020
1.840	0.255	9.000	21.000	28.000	49.000	0.000	0.020	0.040	0.020	0.060	0.130	0.060	0.090	0.060	0.000	0.110	0.090	0.090	0.080	0.070	0.040	0.010	0.010	0.020
0.345	0.304	9.000	77.000	22.000	99.000	0.000	0.020	0.040	0.050	0.050	0.040	0.040	0.060	0.170	0.000	0.160	0.130	0.070	0.070	0.040	0.010	0.020	0.020	0.010
0.849	0.254	9.000	42.000	15.000	57.000	0.000	0.010	0.020	0.080	0.030	0.080	0.100	0.060	0.100	0.000	0.140	0.070	0.090	0.080	0.070	0.030	0.030	0.010	0.000
0.837	0.253	10.000	49.000	28.000	77.000	0.000	0.030	0.030	0.050	0.050	0.060	0.060	0.080	0.120	0.010	0.130	0.080	0.120	0.060	0.030	0.030	0.020	0.020	0.020
0.583	0.193	9.000	27.000	50.000	77.000	0.010	0.030	0.020	0.020	0.050	0.060	0.070	0.140	0.070	0.000	0.150	0.100	0.090	0.070	0.030	0.060	0.020	0.000	0.010
0.955	0.263	9.000	27.000	22.000	49.000	0.000	0.030	0.010	0.070	0.020	0.080	0.130	0.050	0.090	0.000	0.100	0.110	0.090	0.080	0.070	0.040	0.020	0.000	0.010
1.543	0.255	8.000	31.000	34.000	65.000	0.000	0.000	0.030	0.050	0.070	0.050	0.080	0.110	0.140	0.000	0.120	0.090	0.040	0.050	0.070	0.040	0.040	0.010	0.010
0.583	0.213	9.000	43.000	20.000	63.000	0.020	0.030	0.030	0.010	0.030	0.060	0.130	0.060	0.130	0.010	0.100	0.080	0.090	0.060	0.060	0.060	0.030	0.010	0.000
0.943	0.247	8.000	33.000	39.000	72.000	0.010	0.010	0.030	0.030	0.060	0.060	0.050	0.130	0.130	0.000	0.100	0.130	0.070	0.070	0.040	0.010	0.040	0.020	0.010
0.986	0.274	9.000	60.000	19.000	79.000	0.010	0.010	0.010	0.020	0.040	0.080	0.110	0.060	0.190	0.000	0.100	0.090	0.110	0.090	0.020	0.010	0.020	0.020	0.010
0.457	0.270	9.000	23.000	30.000	53.000	0.000	0.010	0.030	0.010	0.040	0.090	0.120	0.120	0.090	0.020	0.080	0.060	0.110	0.110	0.060	0.030	0.010	0.010	0.000
0.619	0.255	9.000	61.000	23.000	84.000	0.010	0.010	0.020	0.030	0.070	0.060	0.100	0.010	0.130	0.000	0.190	0.160	0.050	0.040	0.050	0.030	0.040	0.000	0.000
0.469	0.271	10.000	34.000	16.000	50.000	0.010	0.030	0.030	0.030	0.070	0.080	0.060	0.050	0.100	0.010	0.180	0.070	0.060	0.050	0.060	0.040	0.030	0.040	0.000
1.293	0.262	9.000	72.000	13.000	85.000	0.010	0.010	0.040	0.030	0.060	0.050	0.080	0.040	0.220	0.020	0.090	0.070	0.080	0.020	0.070	0.050	0.010	0.050	0.000
0.805	0.246	9.000	49.000	11.000	60.000	0.000	0.020	0.030	0.050	0.040	0.040	0.140	0.030	0.120	0.000	0.170	0.080	0.050	0.100	0.080	0.020	0.010	0.020	0.000
2.250	0.287	8.000	56.000	54.000	110.000	0.020	0.010	0.020	0.050	0.040	0.060	0.070	0.110	0.080	0.000	0.180	0.090	0.070	0.050	0.090	0.010	0.030	0.020	0.000
0.735	0.257	10.000	32.000	62.000	94.000	0.000	0.010	0.010	0.040	0.050	0.070	0.080	0.150	0.120	0.010	0.070	0.130	0.090	0.030	0.080	0.020	0.000	0.020	0.020
0.790	0.236	9.000	34.000	23.000	57.000	0.010	0.010	0.030	0.030	0.050	0.110	0.060	0.100	0.160	0.000	0.060	0.050	0.080	0.080	0.080	0.030	0.010	0.030	0.020
0.305	0.264	9.000	46.000	22.000	68.000	0.000	0.020	0.070	0.050	0.040	0.070	0.030	0.110	0.120	0.000	0.120	0.070	0.060	0.080	0.020	0.050	0.040	0.030	0.020
0.567	0.281	9.000	40.000	45.000	85.000	0.010	0.020	0.030	0.010	0.020	0.070	0.080	0.100	0.150	0.000	0.140	0.130	0.060	0.090	0.040	0.030	0.000	0.010	0.010
2.041	0.278	9.000	71.000	29.000	100.000	0.000	0.000	0.020	0.030	0.030	0.080	0.090	0.100	0.140	0.000	0.210	0.070	0.100	0.020	0.040	0.040	0.020	0.000	0.010
0.567	0.259	9.000	36.000	34.000	70.000	0.000	0.000	0.030	0.060	0.040	0.060	0.100	0.060	0.160	0.000	0.060	0.150	0.070	0.090	0.090	0.020	0.000	0.000	0.010
0.698	0.225	9.000	55.000	15.000	70.000	0.020	0.010	0.020	0.040	0.080	0.080	0.040	0.080	0.100	0.000	0.150	0.050	0.110	0.090	0.070	0.010	0.020	0.020	0.010
0.381	0.247	9.000	64.000	21.000	85.000	0.010	0.010	0.020	0.020	0.050	0.090	0.090	0.050	0.190	0.010	0.130	0.080	0.060	0.050	0.040	0.040	0.010	0.030	0.020
1.119	0.265	8.000	33.000	35.000	68.000	0.010	0.020	0.020	0.010	0.070	0.070	0.090	0.080	0.120	0.010	0.130	0.130	0.010	0.070	0.080	0.040	0.030	0.010	0.000
1.881	0.290	8.000	56.000	29.000	85.000	0.010	0.000	0.030	0.040	0.020	0.110	0.050	0.140	0.040	0.000	0.200	0.070	0.170	0.020	0.040	0.030	0.010	0.010	0.010
0.529	0.266	10.000	78.000	23.000	101.000	0.000	0.020	0.020	0.020	0.060	0.050	0.060	0.110	0.160	0.000	0.200	0.050	0.070	0.070	0.050	0.010	0.030	0.010	0.010
1.119	0.250	9.000	43.000	18.000	61.000	0.010	0.030	0.020	0.050	0.040	0.040	0.060	0.080	0.180	0.000	0.090	0.080	0.120	0.070	0.050	0.050	0.030	0.000	0.000
0.845	0.229	9.000	38.000	24.000	62.000	0.020	0.010	0.030	0.070	0.040	0.030	0.070	0.100	0.110	0.010	0.130	0.060	0.090	0.080	0.080	0.030	0.010	0.030	0.000
0.748	0.191	8.000	36.000	32.000	68.000	0.000	0.000	0.040	0.030	0.080	0.040	0.080	0.080	0.130	0.000	0.100	0.140	0.120	0.070	0.030	0.040	0.020	0.000	0.000
0.604	0.233	9.000	44.000	17.000	61.000	0.000	0.010	0.050	0.060	0.090	0.000	0.060	0.060	0.120	0.000	0.160	0.090	0.120	0.070	0.040	0.040	0.010	0.010	0.010
0.659	0.284	9.000	43.000	41.000	84.000	0.000	0.010	0.050	0.030	0.040	0.050	0.070	0.120	0.140	0.000	0.130	0.090	0.090	0.020	0.070	0.040	0.050	0.000	0.000
1.001	0.257	9.000	61.000	33.000	94.000	0.010	0.010	0.030	0.070	0.020	0.090	0.040	0.080	0.130	0.000	0.140	0.090	0.090	0.040	0.080	0.050	0.020	0.010	0.000
0.556	0.240	9.000	34.000	20.000	54.000	0.000	0.030	0.030	0.060	0.040	0.070	0.060	0.120	0.080	0.010	0.160	0.050	0.070	0.050	0.070	0.020	0.020	0.030	0.030
1.358	0.248	9.000	96.000	32.000	128.000	0.000	0.000	0.020	0.040	0.050	0.090	0.090	0.080	0.160	0.000	0.130	0.080	0.050	0.090	0.030	0.040	0.030	0.000	0.020
0.345	0.228	9.000	47.000	17.000	64.000	0.010	0.030	0.020	0.040	0.040	0.050	0.090	0.060	0.150	0.010	0.120	0.090	0.080	0.100	0.050	0.020	0.010	0.000	0.030
